mark	price	produced_year	imported_year	distance	motor_volume	color	type	hurd	hodolguur
Toyota RAV4	17.5	2008	2017	170000 км.	2.4 л	Саарал	Жийп	Буруу	Бензин
Suzuki Jimny	45.0	2018	2024	156000 км.	1.5 л	Хар	Жийп	Буруу	Бензин
Mitsubishi Outlander	39.0	2017	2018	48000 км.	2.4 л	Хар	Жийп	Зөв	Бензин
Toyota Highlander	49.5	2008	2021	150000 км.	3.3 л	Саарал	Жийп	Зөв	Хайбрид
Toyota Prius 30	19.5	2010	2022	188000 км.	2.0 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	61.0	2014	2024	111000 км.	2.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 30	15.3	2010	2020	123 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Mercedes-Benz E-Class	80.0	2013	2023	64000 км.	3.5 л	Шаргал	Суудлын тэрэг	Зөв	Бензин
Toyota Aqua	17.0	2015	2024	240000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	27.6	2013	2024	131000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	17.5	2010	2020	230 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Sai	26.8	2011	2024	160000 км.	2.4 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota 4Runner	128.0	2014	2022	100000 км.	4.0 л	Хар	Жийп	Зөв	Бензин
Toyota Prius 20	16.5	2005	2021	155000 км.	1.8 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	13.1	2008	2018	210000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Aqua	18.0	2014	2024	79000 км.	1.5 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	65.0	2016	2023	84000 км.	2.5 л	Бусад	Жийп	Буруу	Бензин
Toyota Crown	11.0	2005	2015	227000 км.	2.5 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	10.7	2004	2017	206592 км.	1.5 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Lexus RX	36.0	2010	2019	134000 км.	3.4 л	Шаргал	Жийп	Буруу	Хайбрид
Lexus HS	30.0	2011	2011	45200 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Highlander	30.0	2008	2014	112000 км.	3.3 л	Саарал	Жийп	Зөв	Хайбрид
Lexus RX	103.0	2016	2024	120000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Aqua	14.6	2015	2021	190000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 100	35.0	1999	2007	1680000 км.	4.7 л	Шаргал	Жийп	Зөв	Бензин
Lexus RX	48.0	2011	2020	68000 км.	3.5 л	Хар	Жийп	Буруу	Бензин
Toyota Highlander	34.0	2009	2013	124000 км.	3.3 л	Саарал	Жийп	Зөв	Хайбрид
Toyota Sai	24.0	2011	2022	110000 км.	2.3 л	Шаргал	Суудлын тэрэг	Зөв	Бензин
Subaru Impreza	9.5	2009	2018	200000 км.	1.5 л	Саарал	Гэр бүлийн	Буруу	Бензин
Toyota Harrier	39.0	2009	2022	160000 км.	3.5 л	Хар	Жийп	Буруу	Бензин
Toyota Harrier	63.0	2016	2024	100000 км.	2.5 л	Бусад	Жийп	Буруу	Хайбрид
Toyota Prius 40	31.8	2013	2024	148000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Sai	21.8	2010	2022	140000 км.	2.4 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
BMW 3-сери	14.0	2004	2011	790000 км.	3.0 л	Хар	Гэр бүлийн	Зөв	Бензин
Geely Coolray	70.0	2023	2023	4000 км.	1.5 л	Хар	Суудлын тэрэг	Зөв	Бензин
Toyota Aqua	13.5	2014	2020	200000 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Nissan X-Trail	20.0	2010	2020	140000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Toyota Sai	16.0	2010	2017	200000 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Бензин
Lexus LX	320.0	2019	2022	56200 км.	5.7 л	Цагаан шар	Жийп	Зөв	Бензин
Mercedes-Benz C-Class	99.0	2019	2023	2000 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	9.0	2004	2016	1626388 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	13.8	2006	2020	180000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Lexus GS	16.0	2008	2019	16 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Estima	21.8	2010	2022	222900 км.	2.4 л	Шаргал	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 30	18.5	2010	2020	200000 км.	1.7 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Alphard	21.0	2008	2019	0 км.	2.4 л	Шаргал	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 30	17.5	2012	2019	1 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Ford Ranger	68.0	2016	2021	28000 км.	3.2 л	Саарал	Жийп	Буруу	Дизель
Toyota Camry	51.0	2018	2024	150 км.	2.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	85.0	2015	2022	70000 км.	3.5 л	Цагаан шар	Жийп	Зөв	Бензин
Toyota Prius 20	21.0	2008	2024	200000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Audi A6	45.0	2014	2024	65000 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	27.0	2014	2024	168000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Hyundai Starex	25.0	2009	2024	200000 км.	2.5 л	Хар	Суудлын тэрэг	Зөв	Дизель
Subaru Legacy	21.0	2013	2022	196 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Бензин
Lexus NX	69.8	2016	2024	145000 км.	2.5 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Toyota Harrier	34.5	2005	2020	166000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Lexus RX	88.0	2014	2023	104000 км.	3.3 л	Хар	Жийп	Зөв	Бензин
Toyota Harrier	47.5	2008	2024	66000 км.	3.3 л	Шаргал	Жийп	Буруу	Хайбрид
Toyota Alphard	36.0	2007	2024	103000 км.	3.0 л	Цагаан шар	Гэр бүлийн	Буруу	Бензин
Toyota Prius 30	24.9	2012	2024	261000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	22.3	2008	2024	140000 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
BMW 5-сери	23.0	2010	2020	172500 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Nissan X-Trail	21.5	2009	2019	168000 км.	2.0 л	Хар	Жийп	Буруу	Дизель
Toyota Prius 40	28.5	2012	2024	130000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	15.6	2006	2021	200000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Chevrolet Captiva Sport	17.0	2009	2011	120000 км.	2.3 л	Шаргал	Жийп	Зөв	Бензин
Nissan GT-R	450.0	2017	2017	2000 км.	3.8 л	Шаргал	Суудлын тэрэг	Зөв	Бензин
Toyota Camry	35.0	2017	2022	82000 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Premio	17.0	2009	2018	186000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	17.0	2011	2018	0 км.	1.7 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 50	39.5	2016	2024	150000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Lexus NX	78.5	2016	2024	101000 км.	2.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 30	15.0	2010	2019	272489 км.	1.6 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	22.0	2010	2022	170000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	14.0	2010	2017	230000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Hyundai Sonata	10.0	2012	2018	500 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Toyota Prius 30	14.0	2010	2016	44 км.	0.7 л	Хар	Суудлын тэрэг	Буруу	Бензин
Lexus RX	49.8	2022	2022	140000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 30	22.9	2012	2024	170000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	39.0	2007	2022	250000 км.	3.3 л	Хар	Жийп	Буруу	Цахилгаан
Toyota Prius 40	29.5	2011	2024	131000 км.	1.8 л	Цагаан шар	Гэр бүлийн	Буруу	Хайбрид
Lexus RX	52.0	2011	2020	78000 км.	3.5 л	Шаргал	Жийп	Зөв	Бензин
Toyota Prius 30	26.0	2014	2024	140 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Crown	45.5	2014	2020	150 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Honda CR-Z	12.5	2011	2020	200 км.	1.4 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	10.5	2012	2018	147540 км.	1.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	45.0	2010	2017	101215 км.	4.5 л	Шаргал	Жийп	Зөв	Бензин
Toyota Prius 20	15.0	2006	2020	200 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Nissan Caravan	39.8	2016	2024	190600 км.	2.5 л	Хар	Жийп	Буруу	Дизель
Ford Escape	17.0	2010	2019	110000 км.	2.3 л	Шаргал	Жийп	Буруу	Бензин
Toyota Alphard	14.5	2005	2014	200000 км.	2.4 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 30	24.9	2014	2024	29000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Sai	25.5	2010	2023	153000 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	27.8	2012	2024	120000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota 4Runner	130.0	2017	2023	61000 км.	4.0 л	Хар	Жийп	Зөв	Бензин
Lexus RX	72.0	2014	2023	199000 км.	3.5 л	Бор	Жийп	Буруу	Хайбрид
Toyota Prius 40	23.0	2012	2019	195000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	10.0	2003	2016	280000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Kluger	64.0	2014	2023	50000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 30	25.5	2014	2024	80340 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	123.0	2017	2024	76000 км.	2.7 л	Бор	Жийп	Буруу	Бензин
Nissan Tiida	4.0	2005	2010	200000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	32.6	2014	2024	107000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 50	33.0	2016	2024	200000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Camry	24.5	2012	2020	200 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	14.0	2006	2019	160000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Lexus NX	94.0	2017	2024	86000 км.	2.5 л	Бор	Жийп	Зөв	Хайбрид
Subaru XV Crosstrek	32.0	2012	2023	66600 км.	2.5 л	Шаргал	Суудлын тэрэг	Зөв	Бензин
Toyota Prius 30	28.0	2013	2022	120000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Camry	38.0	2014	2024	110 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	34.0	2015	2024	170000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Kia Optima/K5	19.5	2015	2024	123000 км.	1.9 л	Хар	Суудлын тэрэг	Зөв	Газ
Toyota Harrier	38.0	2006	2022	97000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Subaru WRX STI	60.0	2017	2019	0 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Lexus GS	17.0	2006	2013	150000 км.	3.0 л	Шаргал	Суудлын тэрэг	Зөв	Бензин
Toyota Camry	49.0	2018	2024	190000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Crown	31.0	2012	2021	190 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Lexus RX	65.0	2012	2022	175 км.	3.3 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 20	13.2	2007	2016	250 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	30.8	2013	2024	153000 км.	1.8 л	Саарал	Гэр бүлийн	Буруу	Хайбрид
Hyundai Sonata	18.0	2015	2020	120000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Toyota Aqua	9.5	2012	2019	60000 км.	2.2 л	Саарал	Суудлын тэрэг	Зөв	Хайбрид
Toyota Hiace	29.5	2006	2020	170 км.	2.7 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	22.0	2012	2018	215321 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Aqua	12.0	2013	2020	202 км.	5.0 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	40.0	2008	2015	170000 км.	2.7 л	Цагаан шар	Жийп	Буруу	Бензин
Kia Бусад	10.5	2015	2022	65000 км.	1.0 л	Хар	Суудлын тэрэг	Зөв	Бензин
Lexus HS	29.0	2010	2023	180000 км.	2.3 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	8.8	2004	2016	200000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Corolla	21.0	2014	2023	180000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	24.0	2013	2019	180000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Volvo XC60	65.0	2015	2024	40668 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Toyota Aqua	17.5	2018	2024	130000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	135.0	2015	2024	125000 км.	4.0 л	Цагаан шар	Жийп	Зөв	Бензин
Toyota Camry	36.0	2012	2024	148000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus HS	30.5	2009	2024	160000 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	24.8	2012	2024	186000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	20.3	2010	2024	180000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 100	44.5	2004	2013	200000 км.	4.2 л	Шаргал	Жийп	Зөв	Дизель
Toyota Prius 40	29.5	2012	2024	137000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
SsangYong Rexton	60.0	2018	2022	60 км.	2.2 л	Саарал	Жийп	Зөв	Дизель
Toyota Prius 30	23.0	2010	2023	150000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	63.5	2014	2024	108000 км.	2.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 30	19.5	2014	2021	173000 км.	1.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	98.0	2014	2023	180000 км.	4.0 л	Хар	Жийп	Буруу	Бензин
Toyota Townace	18.0	2012	2024	113000 км.	1.5 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Aqua	14.0	2012	2022	220 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	15.0	2006	2021	200000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Land Cruiser Prado	84.0	2011	2021	170 км.	4.0 л	Саарал	Жийп	Буруу	Бензин
Subaru Forester	15.5	2006	2016	100 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	11.4	2005	2017	999999 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Aqua	14.2	2015	2020	194000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	27.5	2011	2022	160 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Kia Optima/K5	13.0	2013	2022	240000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Toyota Harrier	40.5	2010	2022	90000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 40	17.0	2011	2017	170000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	40.0	2005	2023	160000 км.	3.3 л	Хар	Жийп	Буруу	Бензин
Chevrolet Captiva Sport	24.0	2013	2013	95000 км.	2.4 л	Саарал	Жийп	Зөв	Бензин
Toyota Land Cruiser 100	22.0	1999	2009	170000 км.	4.7 л	Саарал	Жийп	Буруу	Бензин
Toyota Aqua	11.5	2014	2019	218548 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Subaru Forester	28.0	2012	2021	201000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Toyota Aqua	14.5	2012	2022	145000 км.	1.3 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	82.0	2015	2015	118000 км.	2.7 л	Хар	Жийп	Буруу	Бензин
Toyota Aqua	12.0	2014	2019	150000 км.	1.3 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Hyundai Grandeur	49.0	2019	2023	70000 км.	3.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Honda Бусад	8.0	2010	2020	139000 км.	1.5 л	Саарал	Гэр бүлийн	Буруу	Бензин
Toyota Prius 30	23.5	2014	2024	124000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Corolla	12.0	2008	2018	26000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	14.5	2008	2019	100 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	57.7	2010	2022	136000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 30	23.0	2010	2023	155994 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Premio	19.0	2010	2019	202702 км.	1.5 л	Бор	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	28.5	2012	2024	120000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	22.5	2008	2024	128300 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	16.0	2019	2010	1 км.	2.0 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	26.0	2014	2024	200000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	26.5	2012	2023	170 км.	1.8 л	Цагаан шар	Гэр бүлийн	Буруу	Бензин
Toyota Harrier	56.1	2014	2024	104000 км.	2.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Land Cruiser 300	310.0	2023	2023	2000 км.	3.5 л	Бусад	Жийп	Зөв	Бензин
Toyota FJ Cruiser	70.0	2011	2024	133000 км.	4.0 л	Хар	Жийп	Буруу	Бензин
Honda CR-V	55.0	2019	2020	39000 км.	2.5 л	Бусад	Жийп	Буруу	Бензин
Mercedes-Benz G-Class	240.0	2015	2019	84000 км.	5.5 л	Шаргал	Жийп	Зөв	Бензин
Toyota Prius 40	31.0	2014	2024	200000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Mercedes-Benz G-Class	460.0	2020	2020	60000 км.	4.0 л	Хар	Жийп	Зөв	Бензин
Toyota Prius 40	30.5	2014	2024	83470 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Audi A6	42.0	2014	2023	120 км.	2.0 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	16.0	2009	2019	160000000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Mercedes-Benz CLA-Class	40.0	2014	2021	105000 км.	1.6 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Alphard	70.0	2015	2020	165 км.	2.5 л	Шаргал	Гэр бүлийн	Буруу	Бензин
Subaru XV Crosstrek	35.0	2015	2023	93000 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	24.9	2011	2020	152000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	12.5	2011	2016	150000 км.	0.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	15.5	2010	2019	200000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
